institution	url	ror_results	chosen	score	matching_type	organization.name	organization.id	organization.country.country_name
Departments of Analytical Chemistry, Faculty of Chemistry	https://api.ror.org/organizations?affiliation=Departments+of+Analytical+Chemistry,+Faculty+of+Chemistry	28	FALSE	0.76	COMMON TERMS	Institute of Analytical Chemistry	https://ror.org/05g7knd32	Czechia
"Dept Chemistry, Materials and Chemical Engineering """"""""G. Natta"""""""" - Politecnico di Milano"	"https://api.ror.org/organizations?affiliation=Dept+Chemistry,+Materials+and+Chemical+Engineering+""""""""G.+Natta""""""""+-+Politecnico+di+Milano"	52	TRUE	1	COMMON TERMS	Politecnico di Milano	https://ror.org/01nffqt88	Italy
"Dept Chemistry, Materials and Chemical Engineering """"""""G.Natta"""""""" - Politecnico di Milano"	"https://api.ror.org/organizations?affiliation=Dept+Chemistry,+Materials+and+Chemical+Engineering+""""""""G.Natta""""""""+-+Politecnico+di+Milano"	52	TRUE	1	COMMON TERMS	Politecnico di Milano	https://ror.org/01nffqt88	Italy
DEPT. CHIBIOFARAM, UNIVERSITÀ DI MESSINA	https://api.ror.org/organizations?affiliation=DEPT.+CHIBIOFARAM,+UNIVERSITA+DI+MESSINA	25	TRUE	0.9	COMMON TERMS	University of Messina	https://ror.org/05ctdxz19	Italy
DEPT. DE QUÍMICA BIOLÓGICA Y MODELIZACIÓN MOLECULAR INSTITUTO DE QUÍMICA AVANZADA DE CATALUÑA IQAC-CSIC	https://api.ror.org/organizations?affiliation=DEPT.+DE+QUIMICA+BIOLOGICA+Y+MODELIZACION+MOLECULAR+INSTITUTO+DE+QUIMICA+AVANZADA+DE+CATALUNA+IQAC-CSIC	1	FALSE	0.29	ACRONYM	Open Knowledge Foundation Deutschland	https://ror.org/02cfy3z22	Germany
Dept. of Chemical & Biomolecular Engineering	https://api.ror.org/organizations?affiliation=Dept.+of+Chemical+&+Biomolecular+Engineering	16	FALSE	0.79	FUZZY	Newport Chemical Depot	https://ror.org/028tq4e31	United States
DEPT. OF CHEMISTRY	https://api.ror.org/organizations?affiliation=DEPT.+OF+CHEMISTRY	11	FALSE	0.74	COMMON TERMS	Division of Chemistry	https://ror.org/01ar8dr59	United States
DEPTO DE QUÍMICA ORGÁNICA- UNIVERSIDAD DE ZARAGOZA	https://api.ror.org/organizations?affiliation=DEPTO+DE+QUIMICA+ORGANICA-+UNIVERSIDAD+DE+ZARAGOZA	0						
DEPTO QUÍMICA FÍSICA - UNIVERSIDAD DE ZARAGOZA	https://api.ror.org/organizations?affiliation=DEPTO+QUIMICA+FISICA+-+UNIVERSIDAD+DE+ZARAGOZA	0						
DEPTO. QUÍMICA ORGÁNICA-UNIVERSITY OF ZARAGOZA/ ISQCH-CSIC	https://api.ror.org/organizations?affiliation=DEPTO.+QUIMICA+ORGANICA-UNIVERSITY+OF+ZARAGOZA/+ISQCH-CSIC	23	TRUE	1	COMMON TERMS	University of Zaragoza	https://ror.org/012a91z28	Spain
DEQ - Federal University of São Carlos	https://api.ror.org/organizations?affiliation=DEQ+-+Federal+University+of+Sao+Carlos	19	TRUE	1	COMMON TERMS	Federal University of São Carlos	https://ror.org/00qdc6m37	Brazil
DIP. SCIENZE DELLA TERRA - UNIVERSITÀ DI TORINO	https://api.ror.org/organizations?affiliation=DIP.+SCIENZE+DELLA+TERRA+-+UNIVERSITA+DI+TORINO	19	TRUE	0.9	ACRONYM	German-Israeli Cooperation	https://ror.org/0099z8h13	Germany
Dipartimento di Chimica Industriale Toso Montanari, Università di Bologna	https://api.ror.org/organizations?affiliation=Dipartimento+di+Chimica+Industriale+Toso+Montanari,+Universita+di+Bologna	33	TRUE	1	PHRASE	University of Bologna	https://ror.org/01111rn36	Italy
Dipartimento di Chimica Industriale Toso Montanari, Università di Bologna/Instituto de Tecnología Química, UPV-CSIC, Campus de la Universidad Politécnica de Valencia	https://api.ror.org/organizations?affiliation=Dipartimento+di+Chimica+Industriale+Toso+Montanari,+Universita+di+Bologna/Instituto+de+Tecnologia+Quimica,+UPV-CSIC,+Campus+de+la+Universidad+Politecnica+de+Valencia	45	FALSE	1	COMMON TERMS	University of Bologna	https://ror.org/01111rn36	Italy
Dipartimento di Chimica, Materiali, Ingegneria Chimica 'Giulio Natta', Politecnico di Milano	https://api.ror.org/organizations?affiliation=Dipartimento+di+Chimica,+Materiali,+Ingegneria+Chimica+'Giulio+Natta',+Politecnico+di+Milano	54	TRUE	1	PHRASE	Politecnico di Milano	https://ror.org/01nffqt88	Italy
Dipartimento di Chimica, Università di Torino	https://api.ror.org/organizations?affiliation=Dipartimento+di+Chimica,+Universita+di+Torino	33	FALSE	0.87	COMMON TERMS	University of Turin	https://ror.org/048tbm396	Italy
DIPARTIMENTO DI CHIMICA, UNIVERSITÀ DI TORINO	https://api.ror.org/organizations?affiliation=DIPARTIMENTO+DI+CHIMICA,+UNIVERSITA+DI+TORINO	38	FALSE	0.87	COMMON TERMS	University of Turin	https://ror.org/048tbm396	Italy
DIPARTIMENTO DI INGEGNERIA, UNIVERSITÀ DI MESSINA AND INSTM CASPE (LABORATORY OF CATALYSIS FOR SUSTAINABLE PRODUCTION AND ENERGY) AND ERIC	https://api.ror.org/organizations?affiliation=DIPARTIMENTO+DI+INGEGNERIA,+UNIVERSITA+DI+MESSINA+AND+INSTM+CASPE+(LABORATORY+OF+CATALYSIS+FOR+SUSTAINABLE+PRODUCTION+AND+ENERGY)+AND+ERIC	48	FALSE	0.9	ACRONYM	Institut National des Sciences et Technologies de la Mer	https://ror.org/04abnen92	Tunisia
Dipartimento di Scienza e Alta Tecnologia, Università degli studi Insubria,	https://api.ror.org/organizations?affiliation=Dipartimento+di+Scienza+e+Alta+Tecnologia,+Universita+degli+studi+Insubria,	39	FALSE	0.84	FUZZY	University of Perugia	https://ror.org/00x27da85	Italy
DIPARTIMENTO DI SCIENZA E TECNOLOGIA DEL FARMACO AND NIS-CENTRE FOR NANOSTRUCTURED INTERFACES AND SURFACES, UNIVERSITÀ DI TORINO	https://api.ror.org/organizations?affiliation=DIPARTIMENTO+DI+SCIENZA+E+TECNOLOGIA+DEL+FARMACO+AND+NIS-CENTRE+FOR+NANOSTRUCTURED+INTERFACES+AND+SURFACES,+UNIVERSITA+DI+TORINO	48	FALSE	0.9	ACRONYM	Washington State Department of Early Learning	https://ror.org/01fjz5q85	United States
Dipartimento di Scienze Chimiche e Geologiche	https://api.ror.org/organizations?affiliation=Dipartimento+di+Scienze+Chimiche+e+Geologiche	14	FALSE	0.68	COMMON TERMS	Institute of Neurological Sciences	https://ror.org/01yg57d71	Italy
DISTILLERIE MICHEL BOINAUD	https://api.ror.org/organizations?affiliation=DISTILLERIE+MICHEL+BOINAUD	11	FALSE	0.58	FUZZY	Michell Instruments (France)	https://ror.org/03m233w73	France
DIVISION OF ENERGY& ENVIRONMENTAL MATERIALS, KOREA INSTITUTE OF CERAMIC ENGINEERING & TECHNOLOGY	https://api.ror.org/organizations?affiliation=DIVISION+OF+ENERGY&+ENVIRONMENTAL+MATERIALS,+KOREA+INSTITUTE+OF+CERAMIC+ENGINEERING+&+TECHNOLOGY	16	TRUE	1	PHRASE	Division of Energy	https://ror.org/02bbj5z24	Australia
DIVISION OF INORGANIC CHEMISTRY	https://api.ror.org/organizations?affiliation=DIVISION+OF+INORGANIC+CHEMISTRY	13	FALSE	0.81	COMMON TERMS	Division of Chemistry	https://ror.org/01ar8dr59	United States
Dlian University of Technology	https://api.ror.org/organizations?affiliation=Dlian+University+of+Technology	20	TRUE	0.91	HEURISTICS	Universiti Teknologi MARA	https://ror.org/05n8tts92	Malaysia
DMITRY MENDELEEV UNIVERSITY OF CHEMICAL TECHNOLOGY	https://api.ror.org/organizations?affiliation=DMITRY+MENDELEEV+UNIVERSITY+OF+CHEMICAL+TECHNOLOGY	20	FALSE	0.83	COMMON TERMS	Institute of Chemical Technology	https://ror.org/00ykac431	India
DMITRY MENDELEEV UNIVERSITY OF CHEMICAL TECHNOLOGY OF RUSSIA	https://api.ror.org/organizations?affiliation=DMITRY+MENDELEEV+UNIVERSITY+OF+CHEMICAL+TECHNOLOGY+OF+RUSSIA	1	TRUE	0.95	COMMON TERMS	D. Mendeleyev University of Chemical Technology of Russia	https://ror.org/05w13qg40	Russia
DOMMRS	https://api.ror.org/organizations?affiliation=DOMMRS	1	TRUE	0.9	ACRONYM	Daithi O’Murchu Marine Research Station	https://ror.org/00prce717	Ireland
DONG Energy	https://api.ror.org/organizations?affiliation=DONG+Energy	1	TRUE	1	PHRASE	Ørsted (Denmark)	https://ror.org/02as34v38	Denmark
Dongguk University	https://api.ror.org/organizations?affiliation=Dongguk+University	20	TRUE	1	PHRASE	Dongguk University	https://ror.org/057q6n778	South Korea
DPT INDUSTRIAL CHEMISTRY UNIVERSITY OF BOLOGNA	https://api.ror.org/organizations?affiliation=DPT+INDUSTRIAL+CHEMISTRY+UNIVERSITY+OF+BOLOGNA	21	TRUE	0.9	ACRONYM	State Planning Organization	https://ror.org/02b1qyv69	Turkey
Dr	https://api.ror.org/organizations?affiliation=Dr	0						
DRIVE EA1859, UNIV OF BOURGOGNE FRANCHE-COMTE	https://api.ror.org/organizations?affiliation=DRIVE+EA1859,+UNIV+OF+BOURGOGNE+FRANCHE-COMTE	11	FALSE	0.88	COMMON TERMS	Université Bourgogne Franche-Comté	https://ror.org/02dn7x778	France
DSM INNOVATIVE SYNTHESIS BV	https://api.ror.org/organizations?affiliation=DSM+INNOVATIVE+SYNTHESIS+BV	10	FALSE	0.9	ACRONYM	Direction des Sciences de la Matière	https://ror.org/00rmv5n97	France
DuPont	https://api.ror.org/organizations?affiliation=DuPont	8	FALSE	1	PHRASE	DuPont (Brazil)	https://ror.org/00k672v31	Brazil
DUPONT	https://api.ror.org/organizations?affiliation=DUPONT	8	FALSE	1	PHRASE	DuPont (Brazil)	https://ror.org/00k672v31	Brazil
DURBAN UNIVERSITY OF TECHNOLOGY	https://api.ror.org/organizations?affiliation=DURBAN+UNIVERSITY+OF+TECHNOLOGY	20	TRUE	1	PHRASE	Durban University of Technology	https://ror.org/0303y7a51	South Africa
E2P2 LABORATORY (CNRS-SOLVAY)	https://api.ror.org/organizations?affiliation=E2P2+LABORATORY+(CNRS-SOLVAY)	8	TRUE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
E2P2L - UMI 3464 CNRS-Solvay	https://api.ror.org/organizations?affiliation=E2P2L+-+UMI+3464+CNRS-Solvay	9	FALSE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
E2P2L (UMI CNRS 3464)	https://api.ror.org/organizations?affiliation=E2P2L+(UMI+CNRS+3464)	18	FALSE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
E2P2L SHANGHAI	https://api.ror.org/organizations?affiliation=E2P2L+SHANGHAI	19	FALSE	0.71	COMMON TERMS	Shanghai University	https://ror.org/006teas31	China
E2P2L UMI 3464 CNRS/SOLVAY	https://api.ror.org/organizations?affiliation=E2P2L+UMI+3464+CNRS/SOLVAY	9	FALSE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
E2P2L, UMI 3464 CNRS-SOLVAY	https://api.ror.org/organizations?affiliation=E2P2L,+UMI+3464+CNRS-SOLVAY	9	FALSE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
Eco-Efficient Products and Processes Laboratory	https://api.ror.org/organizations?affiliation=Eco-Efficient+Products+and+Processes+Laboratory	43	FALSE	0.79	FUZZY	CGB Laboratory	https://ror.org/0586vk124	Czechia
ECO-EFFICIENT PRODUCTS AND PROCESSES LABORATORY (E2P2L)	https://api.ror.org/organizations?affiliation=ECO-EFFICIENT+PRODUCTS+AND+PROCESSES+LABORATORY+(E2P2L)	19	TRUE	0.9	ACRONYM	Advanced Neural Dynamics (United States)	https://ror.org/05k7ts633	United States
Eco-Efficient Products and Processes Laboratory, Unité Mixte de Recherche UMI 3464 CNRS/SOLVAY	https://api.ror.org/organizations?affiliation=Eco-Efficient+Products+and+Processes+Laboratory,+Unite+Mixte+de+Recherche+UMI+3464+CNRS/SOLVAY	63	FALSE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
ECOLE CENTRALE DE LILLE	https://api.ror.org/organizations?affiliation=ECOLE+CENTRALE+DE+LILLE	0						
Ecole de technologie supérieure, Mechanical Engineering Departement	https://api.ror.org/organizations?affiliation=Ecole+de+technologie+superieure,+Mechanical+Engineering+Departement	30	TRUE	1	PHRASE	École de Technologie Supérieure	https://ror.org/0020snb74	Canada
ECOLE MILITAIRE POLYETCHNIQUE	https://api.ror.org/organizations?affiliation=ECOLE+MILITAIRE+POLYETCHNIQUE	17	FALSE	0.77	FUZZY	Polytechnique Montréal	https://ror.org/05f8d4e86	Canada
ECOLE NATIONALE POLYTECHNIQUE D'ORAN (ENPO)- LABORATOIRE DE CHIMIE FINE- UNIVERSITÉ D'ORAN 1- AHMED BENBELLA	https://api.ror.org/organizations?affiliation=ECOLE+NATIONALE+POLYTECHNIQUE+D'ORAN+(ENPO)-+LABORATOIRE+DE+CHIMIE+FINE-+UNIVERSITE+D'ORAN+1-+AHMED+BENBELLA	4	TRUE	1	ACRONYM	Frankfurter Institut für Nachhaltige Entwicklung	https://ror.org/00gj51q98	Germany
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE RENNES	https://api.ror.org/organizations?affiliation=ECOLE+NATIONALE+SUPERIEURE+DE+CHIMIE+DE+RENNES	0						
ECOLE NORMALE SUPERIEURE	https://api.ror.org/organizations?affiliation=ECOLE+NORMALE+SUPERIEURE	10	FALSE	1	PHRASE	École Normale Supérieure	https://ror.org/01dp7jr64	Burundi
ECOLE NORMALE SUPÉRIEURE	https://api.ror.org/organizations?affiliation=ECOLE+NORMALE+SUPERIEURE	10	FALSE	1	PHRASE	École Normale Supérieure	https://ror.org/01dp7jr64	Burundi
Ecole Normale Supérieure (ENS) de Lyon	https://api.ror.org/organizations?affiliation=Ecole+Normale+Superieure+(ENS)+de+Lyon	13	FALSE	1	COMMON TERMS	École Normale Supérieure	https://ror.org/01dp7jr64	Burundi
Ecole Normale Superieure de Lyon	https://api.ror.org/organizations?affiliation=Ecole+Normale+Superieure+de+Lyon	13	TRUE	1	PHRASE	École Normale Supérieure de Lyon	https://ror.org/04zmssz18	France
Ecole Normale Supérieure de Lyon	https://api.ror.org/organizations?affiliation=Ecole+Normale+Superieure+de+Lyon	13	TRUE	1	PHRASE	École Normale Supérieure de Lyon	https://ror.org/04zmssz18	France
ECOLE NORMALE SUPÉRIEURE DE LYON	https://api.ror.org/organizations?affiliation=ECOLE+NORMALE+SUPERIEURE+DE+LYON	0						
Ecole Polytechnique Federale de Lausanne	https://api.ror.org/organizations?affiliation=Ecole+Polytechnique+Federale+de+Lausanne	12	TRUE	1	PHRASE	École Polytechnique Fédérale de Lausanne	https://ror.org/02s376052	Switzerland
École Polytechnique Fédérale de Lausanne	https://api.ror.org/organizations?affiliation=Ecole+Polytechnique+Federale+de+Lausanne	12	TRUE	1	PHRASE	École Polytechnique Fédérale de Lausanne	https://ror.org/02s376052	Switzerland
ECOLE SUPÉRIEURE DE CHIMIE ORGANIQUE ET MINÉRALE	https://api.ror.org/organizations?affiliation=ECOLE+SUPERIEURE+DE+CHIMIE+ORGANIQUE+ET+MINERALE	0						
ECOLE SUPERIEURE DE TECHNOLOGIE DE FES	https://api.ror.org/organizations?affiliation=ECOLE+SUPERIEURE+DE+TECHNOLOGIE+DE+FES	2	FALSE	1	ACRONYM	Friedrich Ebert Foundation	https://ror.org/02ak8fm03	Germany
ECOLE SUPERIEURE DE TECHNOLOGIES DE FES	https://api.ror.org/organizations?affiliation=ECOLE+SUPERIEURE+DE+TECHNOLOGIES+DE+FES	3	FALSE	1	ACRONYM	Friedrich Ebert Foundation	https://ror.org/02ak8fm03	Germany
Egyptian Petroleum Research Institute	https://api.ror.org/organizations?affiliation=Egyptian+Petroleum+Research+Institute	19	TRUE	1	PHRASE	Egyptian Petroleum Research Institute	https://ror.org/044panr52	Egypt
EINDHOVEN UNIVERSITY	https://api.ror.org/organizations?affiliation=EINDHOVEN+UNIVERSITY	20	FALSE	0.77	COMMON TERMS	EU Business School	https://ror.org/04facnr46	Switzerland
Eindhoven University of Technology	https://api.ror.org/organizations?affiliation=Eindhoven+University+of+Technology	20	TRUE	1	PHRASE	Eindhoven University of Technology	https://ror.org/02c2kyt77	Netherlands
EINDHOVEN UNIVERSITY OF TECHNOLOGY	https://api.ror.org/organizations?affiliation=EINDHOVEN+UNIVERSITY+OF+TECHNOLOGY	20	TRUE	1	PHRASE	Eindhoven University of Technology	https://ror.org/02c2kyt77	Netherlands
el azhar university	https://api.ror.org/organizations?affiliation=el+azhar+university	20	FALSE	0.89	COMMON TERMS	El Asher University	https://ror.org/042967d53	Egypt
Elettra - Sincrotrone Trieste	https://api.ror.org/organizations?affiliation=Elettra+-+Sincrotrone+Trieste	12	TRUE	0.93	PHRASE	Elettra Sincrotrone Trieste	https://ror.org/01c3rrh15	Italy
EMC INNOVATION LAB	https://api.ror.org/organizations?affiliation=EMC+INNOVATION+LAB	18	FALSE	0.9	ACRONYM	Laboratoire d’Étude des Mécanismes Cognitifs	https://ror.org/0061rmm93	France
ENEA, Agency New Technol Energy & Sustainable Econ Dev, UTRINN IFC	https://api.ror.org/organizations?affiliation=ENEA,+Agency+New+Technol+Energy+&+Sustainable+Econ+Dev,+UTRINN+IFC	25	FALSE	0.9	ACRONYM	Ecole Supérieure d’Economie Appliquée	https://ror.org/00jb25p80	Senegal
Energy and Environment Research Division, Korea Institute of Science and Technology	https://api.ror.org/organizations?affiliation=Energy+and+Environment+Research+Division,+Korea+Institute+of+Science+and+Technology	9	TRUE	1	PHRASE	Korean Association Of Science and Technology Studies	https://ror.org/04qh86j58	South Korea
ENGINEERING SCHOOL OF BILBAO	https://api.ror.org/organizations?affiliation=ENGINEERING+SCHOOL+OF+BILBAO	10	FALSE	0.72	COMMON TERMS	École Supérieure d'Ingénieurs en Génie Électrique	https://ror.org/01apwkd48	France
ENGINEERING SCHOOL OF BILBAO UPV/EHU	https://api.ror.org/organizations?affiliation=ENGINEERING+SCHOOL+OF+BILBAO+UPV/EHU	17	TRUE	0.9	ACRONYM	University of the Basque Country	https://ror.org/000xsnr85	Spain
ENS Chimie de Rennes	https://api.ror.org/organizations?affiliation=ENS+Chimie+de+Rennes	17	FALSE	0.9	ACRONYM	École Normale Supérieure	https://ror.org/01dp7jr64	Burundi
ENS CHIMIE DE RENNES - UMR CNRS 6226	https://api.ror.org/organizations?affiliation=ENS+CHIMIE+DE+RENNES+-+UMR+CNRS+6226	2	FALSE	0.43	FUZZY	CNS Healthcare	https://ror.org/037rewq44	United States
ENS de Lyon	https://api.ror.org/organizations?affiliation=ENS+de+Lyon	4	FALSE	0.9	ACRONYM	École Normale Supérieure	https://ror.org/01dp7jr64	Burundi
ENS DE LYON	https://api.ror.org/organizations?affiliation=ENS+DE+LYON	0						
ENS LYON	https://api.ror.org/organizations?affiliation=ENS+LYON	5	TRUE	1	PHRASE	École Normale Supérieure de Lyon	https://ror.org/04zmssz18	France
ENS PARIS	https://api.ror.org/organizations?affiliation=ENS+PARIS	4	TRUE	1	PHRASE	École Normale Supérieure - PSL	https://ror.org/05a0dhs15	France
ENSCL	https://api.ror.org/organizations?affiliation=ENSCL	1	TRUE	0.9	ACRONYM	École Nationale Supérieure de Chimie de Lille	https://ror.org/041yg4h55	France
ENSCM	https://api.ror.org/organizations?affiliation=ENSCM	1	TRUE	0.9	ACRONYM	École Nationale Supérieure de Chimie de Montpellier	https://ror.org/03sgyqj04	France
ENSCM, INST CHARLES GERHARDT MONTPELLIER, UMR CNRS UM ENSCM 5253	https://api.ror.org/organizations?affiliation=ENSCM,+INST+CHARLES+GERHARDT+MONTPELLIER,+UMR+CNRS+UM+ENSCM+5253	34	FALSE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
ENSCR	https://api.ror.org/organizations?affiliation=ENSCR	1	TRUE	0.9	ACRONYM	École Nationale Supérieure de Chimie de Rennes	https://ror.org/01h0ffh48	France
ENSCR - ISCR	https://api.ror.org/organizations?affiliation=ENSCR+-+ISCR	8	FALSE	0.9	ACRONYM	Institut des Sciences Chimiques de Rennes	https://ror.org/00adwkx90	France
ENSIACET	https://api.ror.org/organizations?affiliation=ENSIACET	0						
ENSIACET-INPT	https://api.ror.org/organizations?affiliation=ENSIACET-INPT	11	TRUE	0.9	ACRONYM	National Polytechnic Institute of Toulouse	https://ror.org/033p9g875	France
ENSIP	https://api.ror.org/organizations?affiliation=ENSIP	0						
ENSIP - UMR 7285 - IC2MP	https://api.ror.org/organizations?affiliation=ENSIP+-+UMR+7285+-+IC2MP	8	FALSE	0.43	FUZZY	École Nationale Supérieure d'Architecture et de Paysage de Bordeaux	https://ror.org/05576mm83	France
Environmental Study Group - FRSN - UTN	https://api.ror.org/organizations?affiliation=Environmental+Study+Group+-+FRSN+-+UTN	14	FALSE	0.9	ACRONYM	Universidad Tecnológica Nicaragüense	https://ror.org/008rn4f38	Nicaragua
Environmental Study Group - UTN - FRSN	https://api.ror.org/organizations?affiliation=Environmental+Study+Group+-+UTN+-+FRSN	14	FALSE	0.9	ACRONYM	Universidad Tecnológica Nicaragüense	https://ror.org/008rn4f38	Nicaragua
Envisep srl	https://api.ror.org/organizations?affiliation=Envisep+srl	0						
EPFL	https://api.ror.org/organizations?affiliation=EPFL	1	TRUE	0.9	ACRONYM	École Polytechnique Fédérale de Lausanne	https://ror.org/02s376052	Switzerland
Equipe Green, UAPV	https://api.ror.org/organizations?affiliation=Equipe+Green,+UAPV	13	FALSE	0.76	COMMON TERMS	Equipe Group (United Kingdom)	https://ror.org/04cpcxa22	United Kingdom
Equipe GREEN, UAPV	https://api.ror.org/organizations?affiliation=Equipe+GREEN,+UAPV	14	TRUE	0.9	ACRONYM	Groupe de Recherche en Énergie Électrique de Nancy	https://ror.org/01kwx4m12	France
eRcane	https://api.ror.org/organizations?affiliation=eRcane	0						
ERIC AISBL AND CASPE/INSTM, UNIVERSITÀ DI MESSINA	https://api.ror.org/organizations?affiliation=ERIC+AISBL+AND+CASPE/INSTM,+UNIVERSITA+DI+MESSINA	39	FALSE	0.9	ACRONYM	Entrepôts, Représentation et Ingénierie des Connaissances	https://ror.org/009frb846	France
ESCOM	https://api.ror.org/organizations?affiliation=ESCOM	1	TRUE	0.9	ACRONYM	École Supérieure de Chimie Organique et Minérale	https://ror.org/02j530k95	France
ESCOM-UTC	https://api.ror.org/organizations?affiliation=ESCOM-UTC	9	FALSE	0.9	ACRONYM	Universidad Técnica de Cotopaxi	https://ror.org/004jbx603	Ecuador
Escuela de Quíımica, Grupo de Investigacion en Bioquımica y Microbiologıa (GIBIM)	https://api.ror.org/organizations?affiliation=Escuela+de+Quiimica,+Grupo+de+Investigacion+en+Bioquimica+y+Microbiologia+(GIBIM)	34	FALSE	0.72	FUZZY	Research Centre in Biological Chemistry of Córdoba	https://ror.org/023dgw813	Argentina
Escuela de Química, Grupo de investigación en Bioquímica y Microbiología (GIBIM)	https://api.ror.org/organizations?affiliation=Escuela+de+Quimica,+Grupo+de+investigacion+en+Bioquimica+y+Microbiologia+(GIBIM)	30	FALSE	0.76	FUZZY	Institute for Chemical Research	https://ror.org/054vff263	Spain
EST	https://api.ror.org/organizations?affiliation=EST	2	TRUE	1	ACRONYM	Electronic Sensor Technology (United States)	https://ror.org/00z7vk025	United States
ETH Zürich	https://api.ror.org/organizations?affiliation=ETH+Zurich	1	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
ETH ZURICH/INSTITUTE OF PROCESS ENGINEERING	https://api.ror.org/organizations?affiliation=ETH+ZURICH/INSTITUTE+OF+PROCESS+ENGINEERING	19	FALSE	0.85	COMMON TERMS	Institute of Process Engineering	https://ror.org/03j4x9j18	China
ETHZ	https://api.ror.org/organizations?affiliation=ETHZ	0						
Etna Cosmesi	https://api.ror.org/organizations?affiliation=Etna+Cosmesi	5	FALSE	0.58	COMMON TERMS	Etna Biotech (Italy)	https://ror.org/03ekg6244	Italy
EXPERTOX	https://api.ror.org/organizations?affiliation=EXPERTOX	0						
EXTRACTIS	https://api.ror.org/organizations?affiliation=EXTRACTIS	0						
FACULDADE DE CIENCIAS E TECNOLOGIA UNIVERSIDADE NO	https://api.ror.org/organizations?affiliation=FACULDADE+DE+CIENCIAS+E+TECNOLOGIA+UNIVERSIDADE+NO	5	FALSE	0.56	COMMON TERMS	Puerto Rico Science, Technology & Research Trust	https://ror.org/05p72vt26	United States
FACULDADE DE CIÊNCIAS E TECNOLOGIA, UNIVERSIDADE NOVA DE LISBOA	https://api.ror.org/organizations?affiliation=FACULDADE+DE+CIENCIAS+E+TECNOLOGIA,+UNIVERSIDADE+NOVA+DE+LISBOA	4	TRUE	1	ACRONYM	Nurses Organization of Veterans Affairs	https://ror.org/017gq1v43	United States
Faculé des sciences de Sfax	https://api.ror.org/organizations?affiliation=Facule+des+sciences+de+Sfax	17	FALSE	0.62	COMMON TERMS	University of Education Freiburg	https://ror.org/02rtsfd15	Germany
Facultad de Ciencias, departamento de Química	https://api.ror.org/organizations?affiliation=Facultad+de+Ciencias,+departamento+de+Quimica	34	FALSE	0.79	COMMON TERMS	Departamento de Educación	https://ror.org/04d1zy188	Spain
FACULTAD DE QUÍMICA. UNIVERSIDAD DEL PAÍS VASCO, UPV/EHU	https://api.ror.org/organizations?affiliation=FACULTAD+DE+QUIMICA.+UNIVERSIDAD+DEL+PAIS+VASCO,+UPV/EHU	2	TRUE	1	ACRONYM	Washington State Department of Early Learning	https://ror.org/01fjz5q85	United States
Faculté des Sciences de Sfax	https://api.ror.org/organizations?affiliation=Faculte+des+Sciences+de+Sfax	16	FALSE	0.61	COMMON TERMS	University of Education Freiburg	https://ror.org/02rtsfd15	Germany
FACULTÉ DES SCIENCES ET TECHNIQUES, UNIVERSITÉ HASSAN1ER,	https://api.ror.org/organizations?affiliation=FACULTE+DES+SCIENCES+ET+TECHNIQUES,+UNIVERSITE+HASSAN1ER,	44	FALSE	0.9	ACRONYM	Arizona Department of Economic Security	https://ror.org/00s8v8467	United States
Faculté des Sciences Pharmaceutiques et Biologiques	https://api.ror.org/organizations?affiliation=Faculte+des+Sciences+Pharmaceutiques+et+Biologiques	19	FALSE	0.69	COMMON TERMS	Institut des Sciences Biologiques	https://ror.org/00rydyx93	France
Faculty for Chemistry and Chemical Technology, University of Ljubljana	https://api.ror.org/organizations?affiliation=Faculty+for+Chemistry+and+Chemical+Technology,+University+of+Ljubljana	70	TRUE	1	PHRASE	University of Ljubljana	https://ror.org/05njb9z20	Slovenia
FACULTY OF AGRICULTURE	https://api.ror.org/organizations?affiliation=FACULTY+OF+AGRICULTURE	18	FALSE	0.64	COMMON TERMS	Ministère de l'Agriculture et de l'Èquipement Rural	https://ror.org/05ympq522	Senegal
FACULTY OF AGRICULTURE , KAFER ELSHRIKH UNIVERSITY	https://api.ror.org/organizations?affiliation=FACULTY+OF+AGRICULTURE+,+KAFER+ELSHRIKH+UNIVERSITY	40	FALSE	0.7	FUZZY	University of Bern	https://ror.org/02k7v4d05	Switzerland
Faculty of Chemical Engineering and Technology, Cracow University of Technology	https://api.ror.org/organizations?affiliation=Faculty+of+Chemical+Engineering+and+Technology,+Cracow+University+of+Technology	50	TRUE	1	PHRASE	Cracow University of Technology	https://ror.org/00pdej676	Poland
